Name,Score,Kill,Death,Damage,O_Kill,O_Death,Trade,Assist,ACE,4Kill,3Kill,2Kill,Headshot,HeadshotPer,Shot,ShotPer,5v1,4v1,3v1,2v1,1v1,FlashAssist,FlashBlind,FlashDuration,MolDMG,HeDMG,AK47-Kill,AK47-DMG,AWP-Kill,AWP-DMG,M4A1-Kill,M4A1-DMG,Deagle-Kill,Deagle-DMG,Glock-Kill,Glock-DMG,USP-Kill,USP-DMG
jkaem,6.5,0.77,0.71,87.58,0.155,0.128,0.112,0.227,3,19,75,195,0.41,53.2%,19.06,13.7%,0,0,0,1,7,0.006,0.54,0.78,1.43,3.96,0.337,36.22,0.000,0.00,0.256,26.91,0.010,1.56,0.031,3.45,0.035,3.30
deko,6.5,0.77,0.58,78.52,0.092,0.051,0.148,0.188,0,12,85,299,0.31,40.1%,8.81,21.5%,0,0,2,7,11,0.026,1.36,1.64,1.22,3.69,0.188,17.78,0.236,21.58,0.086,7.75,0.035,3.52,0.027,2.92,0.041,4.41
insani,6.5,0.76,0.65,83.98,0.124,0.112,0.152,0.214,1,13,55,160,0.44,57.5%,13.74,17.3%,0,0,0,4,9,0.015,1.07,1.44,1.94,3.04,0.372,38.19,0.001,0.09,0.127,12.98,0.029,3.44,0.016,2.11,0.017,1.79
Krimbo,6.5,0.73,0.56,78.97,0.084,0.074,0.134,0.199,1,12,62,240,0.35,48.6%,11.49,19.3%,0,1,2,23,24,0.023,1.24,1.64,2.21,5.01,0.290,29.43,0.033,2.95,0.213,19.58,0.029,3.06,0.031,2.95,0.037,3.49
FL1T,6.5,0.71,0.60,83.70,0.139,0.115,0.102,0.231,0,13,51,168,0.33,47.0%,15.78,16.3%,0,1,2,3,10,0.009,0.80,1.14,2.13,5.60,0.370,39.67,0.004,0.42,0.135,13.76,0.003,0.42,0.022,2.54,0.050,5.08
Nertz,6.4,0.75,0.64,81.31,0.142,0.091,0.110,0.169,1,19,50,170,0.37,49.7%,15.00,17.2%,0,0,1,3,13,0.004,0.72,1.02,1.18,2.46,0.327,32.32,0.005,0.73,0.182,18.47,0.009,1.29,0.031,3.35,0.015,1.80
fame,6.4,0.73,0.59,76.39,0.107,0.093,0.139,0.168,3,13,63,160,0.45,61.9%,10.08,21.4%,1,1,2,7,9,0.012,1.09,1.24,1.47,1.88,0.352,34.75,0.006,0.48,0.173,16.72,0.004,0.45,0.033,3.28,0.039,4.52
HeavyGod,6.3,0.73,0.66,82.18,0.109,0.092,0.144,0.202,1,13,48,154,0.42,57.1%,13.81,17.7%,0,0,2,8,7,0.012,1.05,1.26,1.36,1.97,0.304,32.21,0.001,0.08,0.106,11.17,0.051,5.72,0.036,4.22,0.026,2.99
latt1kk,6.3,0.73,0.59,70.46,0.117,0.068,0.146,0.132,2,13,62,165,0.24,33.0%,7.24,19.1%,0,0,1,5,17,0.039,1.35,1.69,1.30,2.08,0.078,7.35,0.412,36.05,0.062,6.42,0.021,2.43,0.019,2.42,0.058,5.75
tabseN,6.3,0.71,0.68,82.37,0.129,0.116,0.126,0.265,5,11,73,202,0.38,53.6%,13.30,17.3%,0,0,4,3,10,0.023,1.45,2.11,2.75,6.78,0.239,24.14,0.009,0.80,0.129,12.89,0.005,0.69,0.035,4.13,0.041,4.84
shalfey,6.3,0.70,0.65,78.37,0.112,0.093,0.126,0.186,0,8,55,184,0.34,47.9%,14.48,16.4%,1,2,1,7,10,0.014,1.01,1.19,1.57,4.00,0.313,32.43,0.015,1.34,0.195,20.82,0.013,1.60,0.017,1.98,0.038,3.92
hades,6.3,0.73,0.62,73.81,0.116,0.076,0.115,0.144,0,13,68,265,0.20,27.7%,7.22,21.6%,0,0,2,15,13,0.029,1.27,1.61,1.48,1.50,0.105,10.63,0.387,34.79,0.071,7.36,0.031,3.39,0.019,2.08,0.027,3.04
ewjerkz,6.3,0.71,0.69,80.79,0.130,0.125,0.126,0.183,0,13,71,213,0.37,51.7%,15.40,16.0%,0,0,1,5,10,0.009,0.78,0.98,1.66,4.44,0.318,31.64,0.001,0.02,0.080,8.15,0.022,2.81,0.033,3.57,0.032,3.51
KENSI,6.3,0.71,0.65,80.41,0.112,0.108,0.144,0.201,2,19,105,288,0.36,50.4%,15.95,15.0%,0,0,4,8,22,0.007,0.75,0.90,1.57,4.21,0.334,33.30,0.004,0.29,0.182,19.67,0.027,2.99,0.031,3.51,0.037,4.01
nicoodoz,6.2,0.73,0.63,75.29,0.112,0.076,0.127,0.180,2,7,64,189,0.32,43.2%,11.14,15.0%,1,0,0,7,10,0.025,1.49,1.83,1.07,3.64,0.234,23.76,0.246,21.31,0.086,9.17,0.030,2.85,0.016,1.58,0.029,2.58
r3salt,6.2,0.72,0.67,78.86,0.101,0.118,0.135,0.178,3,14,58,215,0.42,58.1%,11.59,19.5%,0,1,4,8,4,0.008,0.58,0.78,1.82,3.41,0.302,29.98,0.004,0.35,0.164,17.28,0.012,1.48,0.025,2.76,0.029,3.45
exit,6.2,0.68,0.59,76.27,0.078,0.065,0.163,0.212,2,5,35,155,0.34,50.1%,15.16,15.0%,0,0,0,6,13,0.016,1.39,1.99,2.77,4.38,0.306,30.73,0.003,0.31,0.160,15.23,0.011,1.27,0.022,2.51,0.021,2.38
Forester,6.2,0.68,0.65,76.69,0.129,0.101,0.124,0.183,1,14,40,226,0.35,51.9%,17.87,13.3%,0,1,2,4,8,0.010,0.82,0.94,1.72,2.90,0.279,28.66,0.000,0.00,0.191,20.47,0.012,1.35,0.025,3.12,0.027,3.29
rigoN,6.2,0.74,0.73,78.50,0.117,0.129,0.131,0.152,3,15,76,217,0.42,56.6%,11.08,20.4%,0,1,1,7,15,0.004,0.59,0.72,0.97,2.42,0.342,34.30,0.011,1.02,0.162,16.85,0.043,4.89,0.021,2.25,0.038,3.84
Jame,6.2,0.66,0.48,64.50,0.107,0.049,0.105,0.170,0,10,41,162,0.19,28.5%,7.14,18.0%,0,0,2,8,11,0.060,2.33,2.73,1.80,2.14,0.095,9.01,0.379,33.16,0.027,3.03,0.004,0.41,0.012,1.27,0.036,3.59
arrozdoce,6.2,0.69,0.66,77.04,0.104,0.089,0.121,0.165,2,11,69,208,0.38,56.1%,13.33,16.3%,0,0,4,10,15,0.009,1.05,1.40,2.15,3.68,0.282,28.96,0.005,0.52,0.104,10.47,0.037,3.72,0.042,4.60,0.016,2.07
saffee,6.2,0.68,0.58,68.28,0.108,0.063,0.120,0.173,0,7,36,158,0.20,29.2%,9.04,17.0%,0,0,0,7,9,0.042,1.65,1.97,1.46,1.95,0.127,12.00,0.320,29.07,0.081,7.83,0.006,0.61,0.027,3.08,0.030,3.38
refrezh,6.2,0.68,0.63,74.14,0.080,0.067,0.136,0.205,1,7,42,149,0.35,50.9%,13.06,17.3%,0,1,2,6,13,0.016,1.10,1.36,1.94,2.83,0.263,26.63,0.016,1.50,0.168,17.64,0.014,1.51,0.023,2.74,0.053,5.41
Norwi,6.1,0.67,0.64,77.05,0.094,0.097,0.135,0.208,3,25,74,266,0.32,47.4%,16.17,15.0%,0,0,1,6,17,0.011,0.87,1.02,1.84,3.53,0.276,29.24,0.006,0.57,0.060,6.42,0.021,2.48,0.031,3.59,0.029,3.16
zorte,6.1,0.69,0.61,68.99,0.107,0.072,0.144,0.145,2,11,42,217,0.24,34.6%,8.15,18.2%,0,0,3,10,15,0.041,1.58,2.10,1.62,1.51,0.117,11.34,0.311,27.78,0.062,6.31,0.028,2.62,0.017,1.90,0.047,5.06
glowiing,6.1,0.70,0.67,76.57,0.119,0.095,0.141,0.177,1,11,42,156,0.39,55.1%,13.89,16.7%,0,0,2,2,9,0.005,0.81,1.21,1.33,4.98,0.331,32.05,0.005,0.54,0.118,12.07,0.022,2.51,0.028,3.06,0.041,3.97
Boombl4,6.1,0.68,0.65,77.03,0.105,0.128,0.110,0.203,2,8,49,177,0.25,36.5%,16.09,15.9%,1,0,0,7,11,0.012,1.29,1.79,1.49,3.87,0.243,25.28,0.057,4.90,0.150,14.76,0.006,0.69,0.023,2.51,0.030,3.84
story,6.1,0.68,0.61,69.10,0.108,0.067,0.122,0.191,1,7,60,195,0.21,31.0%,7.42,20.1%,0,0,2,7,9,0.051,1.69,2.23,2.12,2.02,0.090,9.12,0.339,30.22,0.053,5.21,0.009,0.98,0.015,2.13,0.042,4.19
Kylar,6.1,0.68,0.66,74.52,0.107,0.105,0.118,0.174,2,15,69,219,0.39,57.4%,13.67,15.7%,0,0,4,3,18,0.010,0.94,1.14,1.72,3.49,0.299,30.97,0.004,0.33,0.151,14.40,0.020,2.66,0.039,4.09,0.029,3.16
TRAVIS,6.1,0.66,0.61,72.41,0.084,0.080,0.149,0.166,0,16,64,181,0.37,55.3%,12.61,17.3%,1,2,1,7,21,0.013,0.92,1.18,1.49,3.53,0.270,26.06,0.001,0.06,0.182,18.27,0.022,2.45,0.025,3.04,0.026,3.12
gxx-,6.1,0.68,0.65,68.74,0.095,0.055,0.152,0.152,0,11,56,204,0.22,32.8%,7.84,19.4%,0,0,5,12,17,0.024,1.03,1.29,0.77,1.51,0.118,11.78,0.325,29.80,0.034,3.24,0.029,3.55,0.032,3.10,0.044,4.52
iDISBALANCE,6.1,0.66,0.58,67.30,0.106,0.071,0.127,0.184,0,7,43,138,0.18,27.0%,6.98,21.8%,1,1,1,4,8,0.045,1.29,1.48,1.66,1.21,0.087,8.78,0.330,31.15,0.039,3.45,0.011,1.31,0.018,2.11,0.029,3.23
CacaNito,6.1,0.68,0.69,75.94,0.104,0.096,0.140,0.192,2,7,50,187,0.34,49.6%,17.97,13.2%,0,0,2,3,7,0.008,0.81,1.06,1.86,2.92,0.259,26.51,0.009,0.67,0.231,23.76,0.011,1.03,0.029,3.35,0.024,2.44
nawwk,6.1,0.68,0.56,66.15,0.085,0.052,0.142,0.114,0,11,54,184,0.29,42.9%,9.37,16.4%,0,0,1,8,15,0.020,1.00,1.18,1.59,1.52,0.163,15.68,0.239,20.22,0.092,9.25,0.036,3.38,0.022,2.11,0.039,4.07
prosus,6.0,0.68,0.69,73.22,0.115,0.118,0.141,0.189,1,12,54,193,0.40,58.0%,13.21,16.0%,0,0,1,6,11,0.006,0.59,0.94,1.94,3.05,0.265,26.64,0.004,0.35,0.136,12.60,0.012,1.11,0.030,3.30,0.024,2.64
mopoz,6.0,0.66,0.67,72.99,0.108,0.105,0.110,0.168,2,9,40,146,0.35,52.7%,11.65,18.7%,1,0,0,5,8,0.010,0.87,1.20,1.67,4.19,0.267,28.01,0.007,0.55,0.175,15.60,0.006,0.98,0.031,3.48,0.002,0.10
brnz4n,6.0,0.66,0.66,74.38,0.116,0.129,0.133,0.182,2,7,44,166,0.41,61.6%,14.07,14.6%,0,0,0,2,7,0.007,0.62,0.75,1.89,3.12,0.314,32.94,0.018,1.72,0.149,15.64,0.015,1.84,0.032,3.13,0.030,3.31
d1Ledez,6.0,0.65,0.68,73.26,0.107,0.118,0.131,0.207,1,8,51,127,0.41,63.5%,13.36,16.7%,0,1,1,10,7,0.009,0.72,0.84,1.87,2.49,0.286,29.10,0.004,0.46,0.099,10.11,0.018,1.84,0.032,3.76,0.048,5.47
Altekz,6.0,0.66,0.65,75.22,0.090,0.100,0.133,0.181,0,13,49,192,0.34,51.4%,10.92,20.7%,0,2,1,5,10,0.008,0.54,0.73,1.93,4.10,0.298,30.81,0.004,0.28,0.157,16.51,0.019,2.39,0.031,3.58,0.007,0.70
nqz,6.0,0.64,0.58,65.60,0.096,0.069,0.130,0.167,0,6,52,147,0.18,27.5%,6.23,23.2%,0,0,3,7,15,0.050,1.62,2.00,2.05,1.75,0.088,8.48,0.332,29.97,0.045,4.14,0.003,0.28,0.034,3.85,0.027,3.33
juanflatroo,6.0,0.69,0.72,74.42,0.087,0.101,0.150,0.191,0,8,57,212,0.41,59.8%,14.67,14.6%,0,0,2,12,11,0.008,0.62,0.71,0.97,4.09,0.327,33.33,0.004,0.36,0.082,7.27,0.021,2.31,0.028,2.94,0.031,3.56
volt,6.0,0.66,0.66,72.72,0.095,0.103,0.161,0.191,0,8,43,148,0.38,57.0%,11.72,18.0%,0,0,0,4,11,0.008,0.88,1.24,0.97,3.32,0.287,28.58,0.006,0.58,0.174,17.79,0.007,1.04,0.043,4.45,0.041,4.33
clax,6.0,0.65,0.63,72.44,0.085,0.097,0.116,0.171,2,11,37,130,0.37,56.5%,13.85,15.5%,0,0,1,5,10,0.010,0.78,1.07,1.48,2.65,0.268,27.59,0.005,0.43,0.145,13.87,0.023,3.11,0.029,3.75,0.029,2.92
Krad,6.0,0.64,0.68,74.48,0.101,0.117,0.098,0.190,1,16,53,154,0.34,52.7%,13.37,16.6%,0,2,1,6,4,0.010,1.14,1.59,1.74,3.87,0.255,27.10,0.003,0.30,0.138,15.15,0.011,1.10,0.032,3.23,0.020,2.59
F1KU,5.9,0.64,0.68,72.48,0.085,0.097,0.129,0.179,2,11,65,225,0.37,57.5%,12.78,16.6%,2,1,4,4,12,0.014,1.19,1.44,1.59,2.93,0.279,28.99,0.003,0.37,0.174,18.42,0.024,3.26,0.022,2.70,0.043,4.67
sinnopsyy,5.9,0.64,0.73,74.95,0.115,0.122,0.115,0.237,1,10,57,194,0.37,57.5%,15.72,13.4%,0,0,0,10,10,0.026,1.51,1.90,1.70,4.57,0.269,28.03,0.005,0.39,0.158,15.61,0.023,3.10,0.024,2.78,0.027,3.19
gla1ve,5.9,0.62,0.65,70.79,0.094,0.099,0.107,0.212,0,4,31,123,0.33,52.4%,13.57,15.7%,0,0,0,5,8,0.015,1.27,1.64,2.10,4.11,0.230,23.57,0.007,0.68,0.174,18.09,0.003,0.60,0.021,2.72,0.042,4.30
Lack1,5.9,0.66,0.71,72.83,0.111,0.129,0.115,0.201,1,11,94,225,0.31,47.2%,14.46,15.8%,0,0,1,9,7,0.015,1.08,1.39,1.47,3.24,0.258,26.58,0.010,0.84,0.096,10.28,0.015,1.66,0.030,3.21,0.033,3.58
CRUC1AL,5.8,0.63,0.60,64.87,0.092,0.081,0.145,0.135,0,6,38,138,0.21,32.9%,9.26,17.8%,0,0,1,4,10,0.023,0.84,1.08,1.22,1.68,0.123,12.84,0.259,22.36,0.061,5.78,0.008,0.84,0.022,2.56,0.029,3.25
SELLTER,5.8,0.63,0.65,69.50,0.074,0.089,0.113,0.166,0,16,62,256,0.34,54.2%,15.46,13.7%,0,0,5,13,12,0.012,0.98,1.08,1.12,2.52,0.259,26.86,0.012,1.13,0.093,9.51,0.018,1.98,0.025,2.98,0.031,3.35
TMB,5.8,0.64,0.71,71.84,0.111,0.129,0.109,0.220,0,2,65,219,0.31,48.9%,19.01,11.0%,2,0,1,9,7,0.023,1.29,1.75,2.56,4.45,0.215,22.56,0.035,3.28,0.129,11.67,0.013,1.52,0.022,2.60,0.037,3.84
Nexius,5.8,0.65,0.73,72.43,0.143,0.168,0.109,0.205,2,10,48,167,0.37,56.9%,13.18,15.8%,0,0,3,5,7,0.013,0.76,0.84,1.22,4.13,0.266,26.70,0.001,0.07,0.109,10.79,0.023,2.68,0.034,3.91,0.041,4.75
MUTiRiS,5.8,0.61,0.64,71.11,0.094,0.104,0.106,0.211,1,4,44,179,0.29,47.7%,15.88,13.9%,0,0,1,5,18,0.016,1.44,2.34,1.52,4.37,0.262,27.11,0.003,0.28,0.188,18.89,0.007,0.90,0.022,3.09,0.027,3.26
Goofy,5.8,0.63,0.67,70.69,0.066,0.093,0.139,0.198,1,7,46,220,0.25,39.3%,12.47,19.6%,0,0,1,9,10,0.016,1.13,1.36,1.47,2.92,0.270,26.67,0.002,0.14,0.167,17.08,0.008,1.03,0.021,2.77,0.022,2.46
kyxsan,5.8,0.61,0.66,70.91,0.087,0.103,0.107,0.231,1,8,50,176,0.31,50.4%,12.60,17.4%,0,1,0,2,13,0.022,1.54,2.00,1.96,4.87,0.187,19.72,0.005,0.50,0.150,14.66,0.017,1.84,0.020,2.58,0.017,1.89
dycha,5.8,0.61,0.68,72.03,0.081,0.096,0.120,0.196,1,9,44,122,0.33,53.6%,17.18,13.1%,0,0,0,2,8,0.011,1.00,1.37,1.47,4.16,0.232,23.76,0.002,0.13,0.166,17.56,0.012,1.40,0.020,2.69,0.026,3.35
drop,5.7,0.58,0.63,67.15,0.088,0.108,0.108,0.174,0,3,43,116,0.30,51.6%,13.99,14.8%,0,0,1,6,10,0.008,0.61,0.77,2.20,2.98,0.285,28.81,0.000,0.00,0.123,12.65,0.005,0.95,0.020,2.75,0.024,2.95
SENER1,5.7,0.58,0.68,68.33,0.084,0.095,0.117,0.229,2,7,43,169,0.29,50.4%,17.55,12.3%,0,0,0,6,23,0.020,1.33,1.58,1.64,5.10,0.198,19.82,0.006,0.53,0.136,13.84,0.006,0.73,0.015,2.19,0.038,3.95
NickelBack,5.7,0.59,0.68,70.50,0.089,0.114,0.107,0.236,0,3,47,172,0.25,43.5%,15.87,14.2%,0,0,0,2,8,0.023,1.36,1.74,1.95,5.34,0.218,23.67,0.005,0.41,0.189,20.51,0.014,1.71,0.023,2.68,0.029,3.25
k1to,5.7,0.60,0.70,68.16,0.111,0.125,0.105,0.180,2,11,62,212,0.38,62.8%,10.41,17.8%,0,0,0,8,14,0.019,0.96,1.16,1.71,3.47,0.267,27.42,0.005,0.42,0.067,7.37,0.018,2.15,0.015,1.89,0.030,3.33
rmn,5.6,0.58,0.66,65.97,0.088,0.087,0.118,0.172,1,5,32,165,0.31,53.9%,15.25,12.6%,0,0,1,2,12,0.013,0.83,1.17,1.80,3.86,0.246,25.06,0.004,0.39,0.148,15.74,0.013,1.63,0.021,2.28,0.020,2.12
nafany,5.6,0.59,0.73,68.08,0.113,0.158,0.092,0.181,1,4,31,120,0.32,55.0%,11.51,18.4%,1,0,0,5,4,0.018,1.02,1.36,1.60,3.22,0.190,20.73,0.005,0.50,0.142,13.50,0.013,1.59,0.020,2.63,0.033,3.51
seized,5.5,0.57,0.68,64.96,0.085,0.109,0.103,0.192,0,0,38,121,0.30,52.3%,14.58,14.5%,0,0,0,1,7,0.021,1.78,2.20,1.69,2.42,0.183,19.73,0.012,1.00,0.159,14.49,0.001,0.16,0.029,3.19,0.022,2.80
